Source,Target,Weight
Imjustcalled_T,7im,1
Imjustcalled_T,ryanbort,1
Ineed2pinacolad,gbrough10,1
InuUae,Hig44,4
IriathZhul,RogueWPA,1
IriathZhul,neontaster,1
IrishRick3,gbrough10,1
ItcoinbayCom,gbrough10,1
ItsTalking,gbrough10,1
IzzyMandlebaum,gbrough10,1
JAMS45226427,gbrough10,1
JCJ150,gbrough10,1
JD58626119,gbrough10,1
JJ13324357,gbrough10,1
JJJJWWW,gbrough10,1
JJManring,BombshellDAILY,1
JJT83638060,gbrough10,1
JP4407,gbrough10,1
JPierreBrissot,Bartleby_Kamoi,1
JRacona,gbrough10,1
JTrain44,newsmax,1
JaRainnTa,gbrough10,1
JaRomney,Fecta23,1
JacekJasinski,ddanpereira,1
JackVai11,gbrough10,1
JacobHoerner2,gbrough10,1
JacobPoki,ArizonaFraudit,1
JaiBlake22,CalltoActivism,1
JaiBlake22,joncoopertweets,1
Jak46Judith,Tam_Resist,5
James70822786,gbrough10,1
JamesBl59475056,gbrough10,1
JamesFe53345732,gbrough10,1
JamesJo67513483,gbrough10,1
JamesKellyMaso1,gbrough10,2
JamesLe99784440,gbrough10,1
JamesSemaj1220,SCOTUSblog,1
JamesSemaj1220,hunterzorro2,1
JaneSin98236872,gbrough10,1
JaniceParkForAK,Tam_Resist,1
Janna1104day,Tam_Resist,3
JasonBarczy,RollingStone,1
JasonHuckLewis,ddanpereira,1
JasonStotts22,gbrough10,1
JasonVermilyea,gbrough10,1
JauntyWhisper,GOP,1
Jazzy458899631,gbrough10,1
JeanJuniel,gbrough10,1
JeanMarie91558,RollingStone,1
JeanSteed4,gbrough10,1
JeanVerlich,gbrough10,1
JeaneKGriffin,gbrough10,1
JeannieAdams1,gbrough10,1
JediSeventyOne,scottjohnson,1
JeffHampl,AZSenateGOP,1
JeffHampl,BrotatoMark,1
JeffHampl,VinceLeach,1
JefferyTherom,gbrough10,2
JenniferStrby,gbrough10,1
JeromePandell,ParkerMolloy,1
Jerry34880577,gbrough10,1
JerryRayDeese2,gbrough10,1
JerrySwiacke2,FromtheDeskOfB2,1
JerryWill01,gbrough10,1
Jerry_at_Rick,RollingStone,1
Jesse78272351,gbrough10,1
JesseJa22909147,Tam_Resist,1
Jestjoan,ParkerMolloy,1
JimJ25970359,LevDoctor,1
JimPmbr0wne,gbrough10,1
JimmyWoods1957,LevDoctor,1
JoanC152,BombshellDAILY,1
JoannaGagisNJ,NJSpotlightNews,1
JoannaGagisNJ,PhilMurphyNJ,1
JoannaGagisNJ,mscohen19,1
JodiSmi23673579,SenMarkKelly,1
